Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,111.110001,111.550003,110.370003,111.099998,106.814880,4856000
2019-03-04,111.580002,111.769997,109.940002,110.750000,106.478378,5658800
2019-03-05,111.139999,111.500000,110.860001,111.029999,106.747581,5149300
2019-03-06,111.139999,111.610001,110.459999,110.510002,106.247635,3769600
2019-03-07,110.269997,110.410004,108.820000,109.169998,104.959320,7076300
2019-03-08,108.470001,108.470001,107.660004,108.410004,104.228630,5806800
2019-03-11,108.779999,110.000000,108.739998,109.900002,105.661171,4562200
2019-03-12,110.070000,110.370003,109.620003,110.209999,105.959190,8634000
2019-03-13,110.529999,111.250000,110.400002,110.599998,106.334175,4851900
2019-03-14,110.449997,110.510002,110.019997,110.269997,106.016891,4901700
2019-03-15,110.440002,110.690002,109.830002,110.599998,106.697014,5428000
2019-03-18,110.650002,111.760002,110.650002,111.669998,107.729256,5485500
2019-03-19,112.059998,113.169998,111.779999,112.230003,108.269493,7016700
2019-03-20,112.169998,112.940002,111.320000,112.389999,108.423836,9949400
2019-03-21,112.239998,114.019997,112.239998,113.930000,109.909492,5731500
2019-03-22,113.220001,113.639999,111.639999,111.669998,107.729256,8758900
2019-03-25,111.430000,112.839996,111.320000,112.330002,108.365974,7461600
2019-03-26,112.980003,113.570000,112.209999,112.809998,108.829033,5440700
2019-03-27,112.900002,113.419998,111.910004,112.580002,108.607147,4427700
2019-03-28,112.989998,113.730003,112.669998,113.260002,109.263130,6928300
2019-03-29,113.830002,114.059998,113.550003,113.849998,109.832336,4599900
2019-04-01,114.769997,115.139999,114.410004,115.099998,111.038223,4977700
2019-04-02,115.080002,115.180000,114.699997,115.080002,111.018913,3631800
2019-04-03,115.750000,116.320000,115.400002,115.889999,111.800323,4211300
2019-04-04,115.980003,116.849998,115.980003,116.830002,112.707176,3073900
2019-04-05,117.120003,117.620003,116.820000,117.519997,113.372810,2946700
2019-04-08,117.290001,117.980003,117.150002,117.940002,113.777992,3231400
2019-04-09,117.540001,117.540001,116.680000,116.879997,112.755402,4456400
2019-04-10,117.160004,117.440002,116.610001,117.440002,113.295639,3406800
2019-04-11,117.570000,117.639999,117.269997,117.589996,113.440346,2165400
2019-04-12,118.000000,118.529999,117.790001,118.320000,114.144569,4538800
